disposition	reason	file	line	verdict	evidence	text
note-rewritten	the note was rewritten in 42c929bc7 "No monster in the game emitted light, or darkness"; parity/ledger/world-kernel.yaml still carries 1 deferral note(s), none with this text	parity/ledger/world-kernel.yaml	27	real	The monster-list scan replacement and what the note lists after it	list instead of scanning the monster array. Deferred (ledgered here):
note-rewritten	CLOSED by #131 on 2026-08-07 and the note it sat on was rewritten by the fix. wieldAll's docblock no longer describes a deferred append it did not do; it now describes upstream's temporary pile, which the code now builds. Verdict at retirement was `ported`.	packages/core/src/game/gear.ts	1315	ported	CLOSED 2026-08-07 (#131). pile_insert_end has five upstream call sites and the port matches all five; the fifth (wield_all) was the only real one and had been accepted on a docblock rather than checked against the code.	* deferred pile_insert_end), wielding each object whose liked slot is empty.
note-rewritten	RETRACTED by #132 on 2026-08-07. The row's own evidence -- 'no port equivalent (0 references)' -- was produced by grepping the C's snake_case name in a camelCase codebase. cmdDisableRepeatFloorItem has eight call sites and its flag is set at player-turn.ts:1003. The ledger note that carried the claim was pre-game-loop prose that PORT_TODO 2.12 obsoleted and nobody returned to; it has been rewritten and split, so the row cannot be re-placed. Verdict at retirement was `real` and was WRONG.	parity/ledger/cmd-core.yaml	25	real	cmd_disable_repeat_floor_item has no port equivalent (0 references)	loop later. Not yet ported: cmd_disable_repeat_floor_item and the
note-rewritten	Renamed the local from `deferred` to `newPile` (upstream player-birth.c:466) in the same pass that adjudicated it, so the row text no longer exists. It was census noise over a variable name either way; the renamed lines do not match the census at all, which is the point of the rename.	packages/core/src/game/gear.ts	1260	not-a-deferral	Ordinary English about a LOCAL VARIABLE named `deferred` -- wield_all's temporary pile (player-birth.c:466), which #131 added. The census matched the word, not a parity claim. The behaviour it describes is ported and pinned.	* `deferred` is wield_all's temporary pile. Upstream does not add a split
note-rewritten	Renamed the local from `deferred` to `newPile` (upstream player-birth.c:466) in the same pass that adjudicated it, so the row text no longer exists. It was census noise over a variable name either way; the renamed lines do not match the census at all, which is the point of the rename.	packages/core/src/game/gear.ts	1280	not-a-deferral	The `deferred?: number[]` parameter declaration. A variable name, not a deferral.	deferred?: number[],
note-rewritten	Renamed the local from `deferred` to `newPile` (upstream player-birth.c:466) in the same pass that adjudicated it, so the row text no longer exists. It was census noise over a variable name either way; the renamed lines do not match the census at all, which is the point of the rename.	packages/core/src/game/gear.ts	1307	not-a-deferral	`if (deferred) deferred.push(remHandle)` -- a variable name, not a deferral.	if (deferred) deferred.push(remHandle);
note-rewritten	Renamed the local from `deferred` to `newPile` (upstream player-birth.c:466) in the same pass that adjudicated it, so the row text no longer exists. It was census noise over a variable name either way; the renamed lines do not match the census at all, which is the point of the rename.	packages/core/src/game/gear.ts	1348	not-a-deferral	`const deferred: number[] = []` -- wield_all's new_pile. A variable name, not a deferral.	const deferred: number[] = [];
note-rewritten	Renamed the local from `deferred` to `newPile` (upstream player-birth.c:466) in the same pass that adjudicated it, so the row text no longer exists. It was census noise over a variable name either way; the renamed lines do not match the census at all, which is the point of the rename.	packages/core/src/game/gear.ts	1358	not-a-deferral	The wieldObject call passing the temporary pile. A variable name, not a deferral.	wieldObject(gear, player, handle, undefined, "wield_all", undefined, deferred);
note-rewritten	Renamed the local from `deferred` to `newPile` (upstream player-birth.c:466) in the same pass that adjudicated it, so the row text no longer exists. It was census noise over a variable name either way; the renamed lines do not match the census at all, which is the point of the rename.	packages/core/src/game/gear.ts	1362	not-a-deferral	`deferred.reverse()` -- pile_insert's prepend order, reproduced. A variable name, not a deferral.	deferred.reverse();
note-rewritten	Renamed the local from `deferred` to `newPile` (upstream player-birth.c:466) in the same pass that adjudicated it, so the row text no longer exists. It was census noise over a variable name either way; the renamed lines do not match the census at all, which is the point of the rename.	packages/core/src/game/gear.ts	1363	not-a-deferral	`gear.pack.push(...deferred)` -- pile_insert_end itself. A variable name, not a deferral.	gear.pack.push(...deferred);
